time;LIDL BEŽIGRAD;ŠMARTINSKI PARK;SAVSKO NASELJE 1-ŠMARTINSKA CESTA;ČRNUČE;VILHARJEVA CESTA;MASARYKOVA DDC;POGAČARJEV TRG-TRŽNICA;CANKARJEVA UL.-NAMA;ANTONOV TRG;PRUŠNIKOVA;TEHNOLOŠKI PARK;KOSEŠKI BAJER;TIVOLI;TRŽNICA MOSTE;GRUDNOVO NABREŽJE-KARLOVŠKA C.;LIDL-LITIJSKA CESTA;ŠPORTNI CENTER STOŽICE;ŠPICA;ROŠKA - STRELIŠKA;BAVARSKI DVOR;STARA CERKEV;SITULA;ILIRSKA ULICA;LIDL - RUDNIK;KOPALIŠČE KOLEZIJA;POVŠETOVA - KAJUHOVA;DUNAJSKA C.-PS MERCATOR;CITYPARK;KOPRSKA ULICA;LIDL - VOJKOVA CESTA;POLJANSKA-POTOČNIKOVA;POVŠETOVA-GRABLOVIČEVA;PARK NAVJE-ŽELEZNA CESTA;ZALOG;CESTA NA ROŽNIK;HOFER-KAJUHOVA;DUNAJSKA C.-PS PETROL;STUDENEC;PARKIRIŠČE NUK 2-FF;BRATOVŠEVA PLOŠČAD;KONGRESNI TRG-ŠUBIČEVA ULICA;BS4-STOŽICE;GERBIČEVA - ŠPORTNI PARK SVOBODA;ŽIVALSKI VRT;VOKA - SLOVENČEVA;BTC CITY/DVORANA A;TRNOVO;P+R BARJE;ROŽNA DOLINA-ŠKRABČEVA UL.;KINO ŠIŠKA;BRODARJEV TRG;ZALOŠKA C.-GRABLOVIČEVA C.;DOLENJSKA C. - STRELIŠČE;ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA;SOSESKA NOVO BRDO;TRŽNICA KOSEZE;ALEJA - CELOVŠKA CESTA;MERCATOR CENTER ŠIŠKA;GH ŠENTPETER-NJEGOŠEVA C.;HOFER - POLJE;VIŠKO POLJE;BONIFACIJA;P + R DOLGI MOST;DRAVLJE;POLJE;SUPERNOVA LJUBLJANA - RUDNIK;SREDNJA FRIZERSKA ŠOLA;TRG OF-KOLODVORSKA UL.;TRG MDB;TRŽAŠKA C.-ILIRIJA;PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE;MERCATOR MARKET - CELOVŠKA C. 163;SAVSKO NASELJE 2-LINHARTOVA CESTA;BREG;BTC CITY ATLANTIS;IKEA;MIKLOŠIČEV PARK;BARJANSKA C.-CENTER STAREJŠIH TRNOVO;LEK - VEROVŠKOVA;AMBROŽEV TRG;VOJKOVA - GASILSKA BRIGADA;RAKOVNIK;PREGLOV TRG;PLEČNIKOV STADION
2022-10-30-22-55;16;2;5;7;4;8;15;0;15;8;12;0;5;21;13;12;2;14;10;0;1;13;13;11;0;14;13;2;1;11;5;5;2;13;6;14;4;20;2;9;10;7;18;2;6;6;3;13;17;1;12;13;4;15;18;10;9;16;15;6;17;8;10;10;19;3;2;2;13;17;2;13;11;17;4;4;5;4;0;2;5;5;11;8
2022-10-30-23-00;16;2;5;7;3;8;15;0;15;8;11;0;2;21;13;12;2;14;10;0;2;13;13;11;0;14;13;2;1;12;5;5;2;13;6;14;4;20;2;9;10;7;18;2;1;6;3;13;17;1;12;14;4;15;18;10;9;16;15;6;17;8;10;10;19;3;2;2;13;17;2;13;11;17;4;4;4;4;0;2;4;5;11;8
2022-10-30-23-05;15;3;5;7;3;8;15;0;15;8;11;0;2;21;13;12;2;14;10;0;2;13;14;11;0;14;16;3;1;12;5;5;2;13;8;14;4;20;2;9;10;7;18;2;0;6;3;13;17;0;12;14;5;15;18;10;9;16;15;6;18;8;10;10;19;3;2;2;14;17;2;12;11;16;4;4;4;4;0;2;4;5;11;8
2022-10-30-23-10;14;3;5;7;3;8;15;0;15;8;11;0;2;21;13;12;2;14;10;0;4;13;14;11;0;13;17;3;1;12;5;5;2;13;8;14;2;20;2;9;9;7;18;2;0;6;3;13;17;0;12;15;5;15;18;10;9;16;15;6;18;8;10;10;19;3;2;2;14;17;1;12;11;16;4;4;1;4;0;2;4;5;11;8
2022-10-30-23-15;13;3;5;7;3;8;13;0;15;8;11;0;2;21;13;12;2;14;10;0;4;13;14;11;0;13;17;3;1;12;5;5;2;13;8;14;2;20;2;9;8;7;18;2;0;6;3;13;18;0;12;15;5;15;18;10;9;16;15;6;18;8;10;10;19;3;2;2;14;20;1;12;12;16;4;4;1;3;0;2;6;6;11;8
2022-10-30-23-20;13;3;5;7;2;8;13;1;15;8;11;0;2;21;13;12;2;14;10;0;4;13;14;11;0;13;16;3;1;13;5;6;2;13;10;14;2;20;2;9;6;8;18;2;1;6;2;13;18;0;12;15;5;15;18;10;9;16;15;6;18;8;10;10;19;3;2;2;14;20;1;12;12;16;4;4;0;3;0;2;7;6;11;8
2022-10-30-23-25;13;3;5;7;2;7;13;0;15;8;11;0;3;21;13;12;2;14;10;0;4;13;14;11;2;14;16;3;1;13;5;6;2;13;10;14;3;20;2;9;4;8;18;2;1;6;2;13;18;0;12;15;5;15;18;10;9;16;14;7;18;8;10;10;19;3;2;1;13;20;1;12;12;16;4;4;0;4;0;2;7;6;11;8
2022-10-30-23-30;13;2;5;8;2;6;13;2;15;8;11;0;3;21;13;12;2;14;10;0;4;13;15;11;2;14;16;3;1;13;5;6;2;13;11;14;3;20;2;9;4;8;18;2;2;6;2;13;18;0;12;15;5;15;18;10;9;16;14;7;18;8;10;10;19;3;2;1;14;20;1;12;12;16;4;4;0;5;0;2;9;6;11;8
2022-10-30-23-35;13;2;5;8;1;6;12;4;15;8;11;0;3;21;13;12;2;14;10;0;2;14;15;11;2;14;17;3;1;13;5;7;2;13;11;14;4;20;2;8;4;8;19;2;2;6;2;13;18;0;12;15;5;15;18;10;9;15;13;7;18;8;10;10;19;3;2;1;14;20;0;12;12;16;4;4;0;5;0;2;9;6;11;9
2022-10-30-23-40;13;2;5;8;0;6;10;4;15;8;11;1;3;21;13;12;2;14;10;0;2;14;14;11;2;14;18;2;1;14;5;8;2;13;13;14;4;20;2;8;3;8;19;2;2;6;2;13;18;2;12;15;5;15;18;10;9;15;13;7;18;8;10;10;19;3;2;1;14;20;0;12;14;16;4;4;0;5;0;2;9;6;11;9
2022-10-30-23-45;13;2;5;8;0;6;8;4;15;8;11;1;3;21;13;12;0;14;10;1;2;14;14;11;2;14;18;2;1;15;6;8;2;13;13;14;4;20;2;8;0;8;19;2;2;6;2;13;18;2;12;15;5;16;18;10;9;15;13;7;18;8;10;10;19;3;2;1;15;20;1;13;13;16;4;4;0;4;0;2;9;6;11;9
2022-10-30-23-50;13;2;5;8;0;6;8;3;15;8;11;1;4;21;13;12;0;14;10;1;2;16;14;11;2;14;18;2;1;15;6;8;2;13;13;14;4;20;2;8;0;8;19;2;2;6;1;13;18;2;12;15;5;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;15;20;1;12;12;16;4;4;0;5;0;2;9;6;11;8
2022-10-30-23-55;13;2;5;8;0;6;8;1;15;8;11;1;6;21;13;12;1;14;10;2;2;16;14;11;2;14;18;2;1;15;6;8;2;13;14;14;4;20;2;8;0;8;19;2;2;6;1;13;18;2;12;15;5;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;15;20;1;11;12;15;4;4;0;5;0;2;10;6;11;8
2022-10-31-00-00;13;2;5;8;0;6;8;1;15;8;11;1;6;21;13;12;1;14;10;3;3;16;14;11;2;14;18;2;1;15;6;8;2;13;14;14;4;20;2;8;0;8;19;2;2;6;1;13;18;2;11;15;5;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;16;20;0;11;12;15;4;4;0;5;0;2;10;6;11;6
2022-10-31-00-05;13;2;5;8;0;5;8;0;15;8;11;1;6;21;14;12;1;14;10;3;3;16;14;11;2;14;18;2;1;15;6;8;2;13;14;14;4;20;2;8;0;8;19;2;2;6;1;13;18;2;11;15;5;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;15;20;0;11;12;15;4;4;0;5;0;2;10;6;11;7
2022-10-31-00-10;13;2;5;8;0;5;8;0;15;8;11;1;5;21;14;12;1;14;10;5;3;16;14;11;2;14;18;2;1;15;6;8;2;13;14;14;4;20;2;8;0;8;19;2;2;6;1;13;18;2;11;16;5;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;15;20;0;11;11;15;4;2;0;5;0;3;10;6;11;8
2022-10-31-00-15;13;2;5;8;0;5;8;0;15;8;11;1;5;21;14;12;1;14;10;0;3;16;14;11;2;14;18;2;1;15;6;8;2;13;15;14;4;20;2;8;2;8;19;2;2;6;1;13;18;3;12;16;5;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;14;20;0;11;11;13;4;2;0;5;0;3;10;6;11;9
2022-10-31-00-20;13;2;5;8;0;5;8;0;15;8;11;1;4;21;14;12;1;16;10;0;4;16;14;11;2;14;18;2;1;15;7;8;2;13;15;14;4;20;2;8;0;9;19;2;2;6;1;13;17;3;12;15;5;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;13;20;0;11;11;11;4;2;0;5;0;3;10;6;11;9
2022-10-31-00-25;13;2;5;7;0;4;8;1;16;8;11;0;4;21;14;12;1;16;10;0;4;16;14;11;2;14;18;2;1;15;7;8;2;13;15;14;4;20;2;8;0;9;19;2;2;6;1;13;17;3;12;15;5;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;13;20;0;11;11;11;4;2;0;5;0;3;14;6;11;9
2022-10-31-00-30;13;2;5;7;0;4;4;1;17;8;11;0;4;21;14;12;1;16;10;0;4;18;13;11;2;14;18;2;1;15;7;8;2;13;15;14;4;20;2;8;0;9;19;2;2;6;1;13;17;3;12;15;7;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;13;20;0;11;11;9;4;2;0;5;0;1;13;6;11;9
2022-10-31-00-35;14;2;5;7;0;3;4;0;17;8;12;0;4;21;14;12;1;16;10;0;5;18;13;11;2;14;18;2;1;15;7;8;2;13;15;14;4;20;2;8;0;9;19;2;2;6;1;13;17;3;12;15;7;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;13;20;0;11;11;9;4;2;0;5;0;1;13;6;11;9
2022-10-31-00-40;14;2;4;7;0;2;4;0;15;8;13;0;3;21;14;12;1;16;10;0;5;19;13;11;2;16;17;3;1;15;7;8;2;13;15;14;4;20;3;8;0;9;19;2;2;6;3;13;17;3;12;15;7;16;18;10;10;15;13;7;18;8;10;10;19;3;2;1;13;20;0;11;11;9;4;2;0;5;0;1;13;6;11;9
2022-10-31-00-45;14;2;4;7;0;2;4;0;15;8;13;0;4;21;14;12;1;16;10;0;5;19;13;11;2;17;18;3;1;14;7;8;2;13;15;14;4;20;3;8;0;9;19;2;2;6;5;13;18;3;12;15;7;16;18;10;9;15;13;7;18;8;10;10;19;3;2;1;13;20;0;11;11;9;4;2;0;5;0;1;13;6;11;9
2022-10-31-00-50;14;2;4;7;0;2;4;1;15;8;13;0;4;21;14;12;1;16;10;0;5;19;13;11;2;17;18;3;1;14;7;8;2;13;15;14;4;20;3;8;0;9;19;2;2;6;5;13;18;3;12;15;7;16;18;10;9;16;13;7;18;8;10;10;19;3;2;1;14;20;0;15;11;9;4;2;0;5;0;1;13;6;11;9
2022-10-31-00-55;14;2;4;7;0;2;4;1;15;8;13;0;4;21;14;12;1;16;10;0;5;19;13;11;2;17;18;3;1;14;7;8;2;13;16;14;4;20;3;9;0;9;19;2;2;6;5;13;18;3;12;15;7;16;18;10;10;16;13;7;18;8;10;10;19;3;2;1;14;20;0;15;11;9;4;2;0;5;0;1;13;6;11;9
2022-10-31-01-00;14;2;4;5;0;2;4;1;15;8;13;0;4;21;14;12;1;16;10;0;5;19;13;11;2;17;18;3;1;14;7;8;2;13;16;14;4;20;3;9;0;9;20;2;2;6;5;13;18;3;12;15;7;16;18;10;10;16;13;7;18;8;10;10;19;3;2;1;14;20;0;15;11;9;3;2;0;5;0;1;13;6;11;9
2022-10-31-01-05;14;2;4;5;0;2;4;1;15;5;13;0;3;21;14;12;1;16;10;0;5;19;13;11;2;18;18;3;1;14;7;8;2;13;16;14;4;20;3;9;0;9;20;2;2;6;5;13;18;3;12;15;7;16;18;10;10;16;13;7;17;8;10;10;19;3;2;1;14;20;0;15;11;9;3;2;0;5;0;1;13;6;12;10
2022-10-31-01-10;14;2;4;5;0;2;0;3;15;5;13;0;3;21;14;12;1;16;10;0;5;19;13;11;2;18;18;3;1;14;7;8;2;13;16;14;4;20;3;9;0;9;20;2;2;6;5;13;18;3;12;15;7;16;18;10;10;16;13;7;17;8;10;10;19;3;2;1;14;20;0;15;11;9;3;2;0;5;0;1;13;6;12;10
2022-10-31-01-15;14;2;4;5;0;2;0;3;15;5;13;1;3;21;13;12;1;16;10;0;5;19;13;11;2;18;17;3;1;14;7;8;2;13;16;14;4;20;3;9;0;9;20;2;2;6;5;13;18;3;12;15;7;16;18;10;10;16;13;7;17;8;10;10;19;3;2;1;14;20;0;15;11;9;3;2;0;5;0;1;13;6;12;10
2022-10-31-01-20;14;2;4;5;0;2;0;3;15;5;13;1;3;21;13;12;1;16;10;0;5;19;13;11;2;18;17;3;1;14;7;8;2;13;16;14;4;20;3;9;0;9;20;2;2;6;5;13;12;3;12;15;7;16;18;10;11;16;13;7;17;8;10;10;19;3;2;1;14;20;0;15;11;9;3;2;0;5;0;1;13;6;12;10
2022-10-31-01-25;14;2;4;5;0;2;0;4;15;5;13;1;3;21;13;12;1;16;10;0;9;19;11;11;2;18;17;3;1;14;7;8;2;13;16;14;4;20;3;9;0;9;20;2;2;6;5;13;11;3;12;15;7;16;18;10;13;16;13;7;17;8;10;10;19;3;2;1;14;20;0;17;11;9;3;2;0;5;0;1;13;6;12;10
2022-10-31-01-30;14;2;4;5;0;2;0;4;15;5;13;1;3;21;13;12;1;16;10;0;9;19;11;11;2;18;16;3;1;14;7;8;2;13;16;14;4;20;3;9;7;9;20;2;2;6;5;13;11;3;12;15;7;17;18;10;11;16;13;7;14;8;10;10;19;3;2;1;14;20;0;17;10;9;3;2;0;5;0;1;13;6;12;10
2022-10-31-01-35;14;2;4;5;0;1;0;4;15;5;13;1;3;21;13;12;1;16;10;0;11;19;11;11;2;18;16;3;1;14;6;8;2;13;16;14;4;20;3;9;7;9;19;2;2;6;5;13;11;3;12;15;7;17;18;10;11;16;13;7;14;8;10;10;19;3;2;1;14;20;0;17;10;9;3;2;0;5;0;1;13;6;12;10
2022-10-31-01-40;13;2;4;5;0;1;0;4;15;5;13;1;3;21;13;12;1;16;9;0;11;19;11;11;2;18;15;3;1;15;6;8;2;13;16;14;4;20;3;9;7;9;19;2;2;6;5;13;11;3;12;15;7;17;18;10;11;16;13;7;14;8;10;10;19;3;2;1;14;20;0;17;10;9;3;2;0;5;0;1;13;6;12;10
2022-10-31-01-45;13;2;4;5;0;1;0;4;15;5;13;1;3;21;14;12;1;16;9;0;11;19;11;11;2;18;15;3;1;15;6;8;2;13;16;14;4;20;3;9;7;9;19;2;2;6;5;13;9;3;12;15;7;17;18;10;11;16;13;7;14;8;10;10;19;3;2;1;13;20;0;17;10;9;3;2;0;5;0;1;14;6;12;10
2022-10-31-01-50;13;2;4;5;0;1;0;3;15;5;13;1;3;21;14;12;1;16;9;0;11;19;11;11;2;18;15;3;1;15;6;9;2;13;16;14;4;20;3;9;7;9;18;2;2;6;5;13;9;3;12;15;7;17;18;10;11;16;13;7;14;8;10;10;19;3;2;1;13;20;0;17;10;9;3;2;0;6;0;1;13;6;12;10
2022-10-31-01-55;13;2;4;5;0;1;0;5;17;5;13;1;1;21;14;12;1;16;9;0;11;19;11;11;2;18;14;3;1;15;6;9;0;13;16;14;4;20;3;9;7;9;17;2;2;6;5;13;9;3;12;15;7;17;18;10;11;16;13;7;14;8;9;10;19;3;2;1;13;20;0;17;10;9;3;2;0;6;0;1;13;6;12;10
2022-10-31-02-00;13;2;4;5;0;1;0;5;17;5;13;1;1;21;14;12;1;16;9;0;11;19;12;11;2;18;14;3;1;15;6;9;0;13;16;14;4;20;2;9;7;9;17;2;2;6;6;13;9;7;12;15;7;17;18;10;11;16;13;7;14;8;9;10;19;3;2;1;13;20;0;17;10;9;3;2;0;6;0;1;13;6;12;10
2022-10-31-02-05;13;2;4;5;0;1;0;4;17;5;13;1;1;21;14;12;1;16;9;0;12;19;12;11;3;18;13;3;1;15;6;9;0;13;16;14;4;20;2;9;5;9;17;2;2;6;7;13;9;7;12;15;7;17;18;10;11;16;13;7;14;8;9;10;19;3;2;1;13;20;0;17;11;9;3;2;0;6;0;1;13;6;12;10
2022-10-31-02-10;13;3;4;5;0;1;0;6;17;5;13;1;1;21;14;12;1;16;9;0;10;19;12;11;3;18;13;3;1;15;6;9;0;13;16;14;4;20;2;9;5;9;17;2;2;6;7;13;11;7;12;15;7;17;18;10;11;16;13;7;14;8;9;10;19;3;2;1;13;20;0;17;10;9;3;2;0;6;0;1;13;6;12;10
2022-10-31-02-15;13;3;4;5;0;1;0;6;17;5;13;1;1;21;14;12;1;16;9;0;10;19;12;11;3;18;13;3;1;15;6;9;0;13;16;14;4;20;2;9;5;9;17;2;2;6;7;13;10;9;12;15;7;17;18;10;11;16;13;7;14;8;9;10;19;3;2;1;13;20;0;17;12;9;3;2;0;6;0;1;11;6;12;10
2022-10-31-02-20;13;3;4;5;0;1;0;4;17;5;13;1;1;21;14;12;1;16;9;0;10;19;12;11;3;18;13;3;1;15;6;9;0;13;16;14;4;20;2;9;5;9;17;2;2;6;7;13;10;10;12;15;7;17;18;10;11;16;13;7;14;8;9;10;19;3;2;1;13;20;2;17;12;9;3;2;0;6;0;1;12;6;12;10
2022-10-31-02-25;13;3;4;5;0;1;1;0;18;5;13;1;1;21;14;12;1;16;9;0;10;19;13;11;3;18;13;3;1;15;6;9;0;13;16;14;4;20;2;9;5;9;17;2;2;6;7;13;10;10;12;15;7;17;18;10;11;16;12;7;14;8;9;10;19;3;2;1;13;20;2;17;12;9;3;2;0;6;0;1;12;6;12;10
2022-10-31-02-30;13;3;4;5;0;1;1;0;18;5;13;1;1;21;14;12;1;16;9;0;10;19;13;11;3;18;13;3;1;15;6;9;0;13;16;14;4;20;2;9;5;9;17;2;2;6;7;13;10;10;12;15;7;17;18;10;11;16;12;7;14;8;9;10;19;3;2;1;12;20;2;17;12;9;3;2;0;6;0;1;12;6;12;10
2022-10-31-02-35;13;3;4;5;0;1;1;0;18;5;13;1;1;21;14;12;1;16;9;0;11;19;13;11;3;18;13;3;1;15;6;9;0;13;16;14;4;20;2;9;3;9;17;2;2;6;7;13;10;10;12;15;7;17;18;10;11;16;12;7;14;8;9;10;19;3;2;1;12;20;2;17;12;9;3;2;0;6;0;1;10;6;12;10
2022-10-31-02-40;13;3;4;5;0;1;1;0;18;5;13;1;1;21;14;12;1;16;9;0;10;19;13;11;3;18;13;3;1;15;6;9;0;13;16;14;4;20;1;9;1;9;17;2;2;6;7;13;10;10;12;15;7;17;18;10;11;16;12;7;14;8;9;10;19;3;2;1;12;20;2;17;12;9;3;2;1;6;0;1;10;6;12;10
2022-10-31-02-45;13;3;4;5;0;0;0;0;18;5;13;1;1;21;14;12;1;16;9;0;11;19;13;11;4;18;13;3;1;15;6;9;0;13;16;14;4;20;1;9;1;9;17;2;2;6;7;13;15;10;12;15;7;17;18;10;11;16;12;7;15;8;9;10;19;3;2;1;12;20;2;18;12;9;3;2;1;6;0;1;10;6;12;10
2022-10-31-02-50;13;3;4;5;0;0;0;0;18;5;13;1;1;21;14;12;1;16;9;0;11;19;13;11;4;18;13;3;1;15;6;9;0;13;16;14;3;20;0;9;1;9;14;2;2;6;7;13;15;10;12;15;7;17;18;10;11;16;11;7;15;8;9;10;19;6;2;1;11;20;0;18;12;9;3;2;1;6;0;2;9;6;12;10
2022-10-31-02-55;13;3;4;5;0;0;0;0;18;5;13;1;1;21;14;12;1;16;9;0;11;19;13;11;4;18;12;3;1;15;6;9;0;13;16;14;3;20;0;9;1;9;13;2;2;6;7;13;15;10;12;15;7;17;18;10;11;16;11;7;15;8;9;10;19;6;2;1;11;20;0;18;12;9;3;2;1;6;0;2;8;6;12;10
2022-10-31-03-00;13;3;4;5;0;0;0;0;18;5;13;1;1;21;14;12;1;16;9;0;11;19;13;11;4;18;13;3;1;15;6;9;1;13;16;14;3;20;0;9;0;9;13;2;3;6;7;13;17;11;12;15;7;17;18;10;10;16;11;7;15;8;9;10;19;6;2;1;9;20;0;18;12;9;3;2;1;7;0;2;8;6;12;10
2022-10-31-03-05;13;3;4;5;0;0;0;0;18;5;13;1;1;21;12;12;1;16;9;0;10;19;13;11;4;18;13;3;1;15;6;9;1;13;14;14;3;20;0;9;0;9;13;2;3;6;7;12;17;12;12;15;7;17;18;10;10;16;11;7;15;8;9;10;19;6;2;1;8;20;0;18;11;9;3;2;0;7;0;2;8;6;12;10
2022-10-31-03-10;13;3;4;5;0;0;0;0;18;8;13;1;1;21;12;12;1;16;9;0;10;19;13;11;4;18;13;3;1;15;6;9;1;13;16;14;3;20;0;9;0;9;13;2;3;6;7;12;17;12;12;15;7;17;18;10;10;16;11;8;15;8;9;10;19;6;2;1;5;20;0;18;11;7;3;2;0;7;0;2;8;6;12;10
2022-10-31-03-15;13;3;4;5;0;0;0;2;18;8;13;1;1;21;12;12;1;18;9;0;10;19;13;11;4;18;13;3;1;16;6;9;1;13;16;14;3;20;0;9;0;9;13;2;3;6;7;12;17;12;12;15;7;17;18;10;10;16;11;8;15;8;9;10;19;6;2;1;5;20;0;18;10;7;3;2;0;9;0;2;8;6;12;10
2022-10-31-03-20;13;3;4;5;0;0;0;2;18;8;13;1;0;21;12;12;1;18;9;0;10;20;13;11;4;18;13;3;1;16;6;9;1;13;16;14;3;20;0;9;0;9;17;3;3;6;7;12;17;12;12;15;7;17;18;10;10;16;11;8;15;8;9;10;19;6;2;1;5;20;0;18;10;7;3;2;0;9;0;2;8;6;12;10
2022-10-31-03-25;13;3;4;5;0;0;0;2;18;8;13;1;0;21;12;12;1;18;9;0;11;20;13;11;4;18;15;3;1;16;6;9;1;13;16;14;3;20;0;9;0;9;17;3;3;6;7;12;17;12;12;15;7;17;18;10;10;16;11;8;15;8;9;10;19;6;3;1;4;20;0;18;10;7;3;2;0;9;0;3;7;6;12;10
2022-10-31-03-30;13;3;4;5;0;0;0;2;18;8;13;1;0;21;12;12;1;18;9;0;11;20;13;11;4;18;15;3;1;16;6;9;1;13;16;14;3;20;0;9;0;9;17;3;3;6;7;12;17;12;12;15;7;17;18;12;10;16;11;8;15;8;9;10;19;6;3;1;3;20;0;18;10;7;3;2;0;9;0;3;5;6;12;10
2022-10-31-03-35;12;3;4;5;0;0;0;0;18;8;13;1;0;21;12;12;1;18;9;0;11;20;13;11;4;18;15;3;1;16;6;9;1;13;16;14;3;20;0;9;0;9;17;3;3;6;7;12;15;12;12;15;7;17;18;12;10;16;11;8;15;8;9;10;19;6;3;1;3;20;0;18;10;7;3;2;0;9;0;3;5;6;12;10
2022-10-31-03-40;12;3;4;5;0;0;0;0;18;8;13;1;0;21;12;12;1;18;9;0;11;20;13;11;4;18;15;3;1;16;6;9;2;13;16;14;3;20;0;9;0;9;17;3;3;6;8;12;16;12;12;15;7;17;18;12;10;16;11;8;15;8;9;10;19;6;3;1;3;20;0;18;10;7;3;2;0;10;0;3;5;6;12;10
2022-10-31-03-45;11;3;4;5;0;0;0;0;18;8;13;1;0;21;12;12;1;18;10;0;11;20;13;11;4;18;15;3;1;16;6;9;2;13;16;14;3;20;0;9;0;9;17;3;5;6;8;12;16;12;12;15;7;17;18;12;10;16;11;8;15;8;9;10;19;6;3;1;3;20;0;18;10;7;3;2;0;10;0;3;3;6;12;10
2022-10-31-03-50;9;3;4;5;0;0;0;0;18;10;13;1;0;21;12;12;1;18;10;0;11;20;13;11;4;18;15;3;1;16;6;9;3;13;16;13;3;20;0;9;0;9;17;3;5;6;8;12;16;12;12;15;7;17;18;12;10;16;12;8;15;8;9;10;19;6;3;1;3;20;0;18;10;7;3;2;0;10;0;3;2;6;12;10
2022-10-31-03-55;9;3;4;5;0;0;0;0;18;10;13;1;0;21;12;12;1;18;10;0;11;20;13;11;4;18;15;3;1;16;6;9;3;14;16;13;3;20;0;9;0;9;17;3;5;6;8;12;17;12;12;15;7;17;18;12;10;16;12;8;15;8;9;10;19;6;3;1;3;20;0;18;10;7;3;2;0;10;0;3;2;6;12;10
2022-10-31-04-00;9;3;4;5;0;0;0;0;18;10;13;1;0;21;12;12;1;18;10;0;11;20;13;11;4;18;15;3;1;16;6;9;3;14;16;13;3;20;0;9;0;9;16;3;7;6;8;12;17;12;12;15;7;17;18;12;11;16;12;8;15;8;9;10;19;6;3;1;2;20;0;18;10;7;3;2;0;10;0;3;0;6;12;10
2022-10-31-04-05;9;3;4;5;0;0;0;0;18;10;13;1;0;21;12;12;1;18;10;0;11;20;13;11;4;18;15;3;1;16;8;9;3;14;16;13;3;20;0;9;0;9;16;3;7;6;8;12;17;12;12;15;7;17;18;12;11;16;12;8;15;9;9;10;19;6;3;1;0;20;0;18;10;7;3;2;0;10;0;3;0;6;12;10
2022-10-31-04-10;9;3;4;6;0;0;0;0;18;10;13;1;0;21;12;12;1;18;10;0;11;20;13;11;4;18;15;3;1;16;8;9;3;14;16;13;3;20;0;9;0;9;16;3;7;6;8;12;17;12;12;15;7;17;18;12;11;16;12;8;15;9;9;10;19;6;3;1;1;20;0;18;10;7;3;2;0;10;0;3;0;6;12;10
2022-10-31-04-15;9;3;4;6;0;0;0;1;18;10;13;1;0;21;12;12;1;18;10;0;11;19;13;11;4;18;15;3;1;16;8;9;3;14;16;14;3;20;0;10;0;8;16;3;7;6;8;12;16;12;12;15;7;17;18;12;11;16;12;8;15;9;9;10;19;6;3;2;1;20;0;18;10;7;3;2;0;10;0;3;0;6;12;10
2022-10-31-04-20;9;3;4;6;0;0;0;1;18;10;13;1;0;21;12;12;1;18;10;0;11;19;12;11;4;18;15;3;1;16;8;9;3;14;16;14;3;20;0;10;0;8;16;3;7;6;8;12;16;12;12;15;7;17;18;12;11;16;12;8;15;9;9;10;19;6;3;2;1;20;0;18;10;7;3;2;0;10;0;3;0;6;12;10
2022-10-31-04-25;9;3;4;6;0;0;0;1;18;10;13;1;0;21;12;12;1;18;10;1;12;19;10;11;4;17;15;3;1;16;8;9;3;14;16;14;3;20;0;10;0;8;16;3;7;6;8;12;15;12;12;15;7;17;18;12;11;16;12;8;15;9;9;10;19;6;3;2;1;20;0;18;10;7;3;2;0;10;0;3;0;6;12;9
2022-10-31-04-30;9;4;4;6;0;0;0;1;18;9;13;1;0;21;12;12;1;18;10;1;12;19;10;11;4;17;15;3;1;16;8;9;3;14;16;14;3;20;0;10;0;8;16;3;7;6;8;12;15;14;12;15;7;17;18;12;11;16;12;8;15;9;9;10;19;6;3;2;1;20;0;18;10;6;3;2;0;10;0;3;0;6;12;9
2022-10-31-04-35;9;4;4;6;0;0;0;1;18;9;13;1;0;21;12;12;1;18;10;1;12;19;10;11;4;17;15;3;1;16;8;10;3;14;16;14;3;20;0;10;0;8;16;3;7;6;8;12;15;14;12;15;7;17;18;12;12;16;12;8;15;9;9;10;19;6;3;2;1;20;0;18;10;5;3;2;0;10;0;3;0;6;12;9
2022-10-31-04-40;9;4;4;6;0;0;0;1;18;9;13;1;0;21;12;12;1;18;10;1;11;19;10;11;4;17;15;3;1;16;8;10;3;14;16;14;3;20;0;11;0;8;16;3;7;6;8;12;15;14;12;15;7;17;18;12;12;16;12;8;15;9;9;10;19;6;3;2;1;20;0;18;10;5;3;2;0;11;0;3;0;6;12;9
